,title,address,price,price_per_sqm,rooms,sqm
2501,"Apartamente cu 1 camera, centrala proprie, finisaje la alegere, zona B","Cetate, Timisoara, Timis",51000,1500,1,34
528,Ap. 1camera Circumvalatiunii,"Cetate, Timisoara, Timis",51000,1545,1,33
1128,"Dambovita, eaj 1. Decomandat. Centrala proprie.","Iosefin, Timisoara, Timis",51000,1594,1,32
1937,"Etaj 1, mobilat si utilat, cu posibilitate montare centrala. Sagului.","Calea Sagului, Timisoara, Timis",51000,1594,2,32
694,Vând apartament o camera circumvalatiunii,"Cetate, Timisoara, Timis",51000,1645,1,31
1731,"Centru, 1 camera, pretabil investitii, ETAJ INTERMEDIAR","Cetate, Timisoara, Timis",51000,2125,1,24
1945,Apartament cu 2 camere in zona Sagului,"Steaua, Timisoara, Timis",51500,1170,2,44
1503,"Apartament de 2 camere, 34 mp, zona Sagului","Strada Gavril Musicescu, Fratelia, Timisoara, Timis",51500,1515,2,34
338,"CI273 Apartament 1 camera Sagului,renovat","Elisabetin, Timisoara, Timis",51500,1717,1,30
1833,"Apartament o camera, 38mp, zona Simion Barnutiu","Dorobantilor, Timisoara, Timis",51900,1366,1,38
1896,51 900 euro!!! Apartament 1 camera Simion Barnutiu,"Modern, Timisoara, Timis",51900,1366,1,38
174,"Apartament 2 camere, 56 mp, zona Girocului","Strada Constantin Brailoiu, Calea Girocului, Timisoara, Timis",52000,929,2,56
1967,Zona Musicescu ap cu terasa si curte,"Cetate, Timisoara, Timis",52000,1040,2,50
2464,Freidorf- 2 camere-50 mp - renovat,"Freidorf Parc Industrial, Timisoara, Timis",52000,1040,2,50
3059,Apartament la casa,"Cetate, Timisoara, Timis",52000,1106,1,47
305,Apartament luminos cu 2 camere | Calea Sagului,"Strada Frunzei, Calea Sagului, Timisoara, Timis",52000,1238,2,42
2131,Zona Iosefin. Amenajat. Mobilat si utilat.,"Iosefin, Timisoara, Timis",52000,1253,2,41.5
2935,"Apartament decomandat cu 1 camera, zona Odobescu","Elisabetin, Timisoara, Timis",52000,1268,1,41
